model,inputs,input_reduction_vs_37_percent,r2,mae,rmse,median_absolute_error,rmsle
Previous v4 production,37,0.0,0.4232307848779787,19105.79598311671,56404.10951089011,5170.2976007293455,3.22002408062969
Compact model,25,32.432432432432435,0.4191132873872677,19087.165620838143,56605.08310221816,5241.764715409216,3.340442260935036
New practical model,15,59.45945945945946,0.39769617865686857,19614.1828531067,57639.143726165756,5436.29534237078,3.3737125327591118
