model,band,cutoff_inr,episodes,mae,rmse,r2,median_absolute_error,rmsle,mean_signed_error_actual_minus_predicted
Compact model,top10,70000.0,2412,92848.07554762463,163811.83346964323,0.04468676843957975,50588.13795290573,0.8391541758609825,60217.22115773264
Compact model,top5,120000.0,1186,145384.55455131156,225583.79070634174,-0.21509111874236742,93490.60697691186,1.007482371611995,117565.73706894422
Compact model,top1,320000.0,236,373445.1269878746,454889.2532316612,-1.6959085298229164,317383.7086564527,1.405420976868291,363726.7493890813
New practical model,top10,70000.0,2412,95759.28491592337,166901.532534979,0.008310078391042253,51178.00565594235,0.8774167182846881,64804.69854156243
New practical model,top5,120000.0,1186,150076.4970003695,230346.13453045714,-0.2669367194835308,97692.40623937338,1.0540520281037398,124238.5530149708
New practical model,top1,320000.0,236,388187.58310022997,463787.4007859376,-1.8024101176023724,328837.8904494813,1.4641997318789506,381826.86036099825
