model,inputs,r2,mae,rmse,median_absolute_error,rmsle
Previous v4 production,37,0.4278730006218915,18321.441949256514,53118.295852515716,4832.741573001242,3.251219490005816
Compact model,25,0.4225204069358352,18520.100091248056,53366.19426501024,5074.676941163183,3.4016543004663125
New practical model,15,0.3965834705573834,19234.659190777442,54551.476937742045,5441.861449583681,3.438477030399936
