id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hrc-89f8eda2daf88873,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Treatment Charges,Class 3,Class 3,treatment charge,Non-Malaysian,foreigner,,Class 3,,0.0,,Free,Published as free on the official source.,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-4db8d9259100f677,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from government clinics or hospitals,Referrals from government clinics or hospitals,specialist clinic consultation,Malaysian,citizen,,,,0.0,first consultation,"Free for first consultation, RM5 for next visit.",Published as free on the official source.,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-71befa5641d18cd5,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from government clinics or hospitals,Referrals from government clinics or hospitals,specialist clinic consultation,Malaysian,citizen,,,,5.0,subsequent visit,"Free for first consultation, RM5 for next visit.",Published as free on the official source.,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-d66d4e5c5272d652,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from private clinics or hospitals,Referrals from private clinics or hospitals,specialist clinic consultation,Malaysian,citizen,,,,30.0,first consultation,"RM30 for the first consultation, RM5 for the next visit.",,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-16e5ee7e736f49e6,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from private clinics or hospitals,Referrals from private clinics or hospitals,specialist clinic consultation,Malaysian,citizen,,,,5.0,subsequent visit,"RM30 for the first consultation, RM5 for the next visit.",,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-af2e20d537401be9,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from government clinics or hospitals,Referrals from government clinics or hospitals,specialist clinic consultation,Non-Malaysian,foreigner,,,,78.0,first and subsequent consultation,RM78 for the first consultation and subsequent visit.,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-5e2ce8d6ce219fc8,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Specialist Clinic,Referrals from private clinics or hospitals,Referrals from private clinics or hospitals,specialist clinic consultation,Non-Malaysian,foreigner,,,,78.0,first and subsequent consultation,RM78 for the first consultation and subsequent visit.,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-2f39325f5d4d186b,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Physiotherapy,Physiotherapy,Physiotherapy,clinical service,Malaysian,citizen,,,,5.0,per session,RM5 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-1e05d54a14e1ff0e,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Physiotherapy,Physiotherapy,Physiotherapy,clinical service,Non-Malaysian,foreigner,,,,78.0,per session,RM78 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-052c2115997eca7d,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Occupational Therapy,Occupational Therapy,Occupational Therapy,clinical service,Malaysian,citizen,,,,5.0,per session,RM5 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-ff3fb401f4157fab,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Occupational Therapy,Occupational Therapy,Occupational Therapy,clinical service,Non-Malaysian,foreigner,,,,78.0,per session,RM78 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-e2788d7159ec99ba,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Speech Therapy,Speech Therapist,Speech Therapist,clinical service,Malaysian,citizen,,,,5.0,per session,RM5 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-081c5b772f6eebe1,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Speech Therapy,Speech Therapist,Speech Therapist,clinical service,Non-Malaysian,foreigner,,,,78.0,per session,RM78 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-9b52cec73b31f9d6,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Audiology,Audiology,Audiology,clinical service,Malaysian,citizen,,,,5.0,per session,RM5 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-6359caf5b3d95f4c,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Audiology,Audiology,Audiology,clinical service,Non-Malaysian,foreigner,,,,78.0,per session,RM78 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-c8c55d6fb8f09dc9,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Traditional and Complementary Medicine,Traditional and Complementary Medicine,Traditional and Complementary Medicine,clinical service,Malaysian,citizen,,,,5.0,per session,RM5 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-e82c5fa8cc267978,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Traditional and Complementary Medicine,Traditional and Complementary Medicine,Traditional and Complementary Medicine,clinical service,Non-Malaysian,foreigner,,,,78.0,per session,RM78 per session,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
