category,service_name,patient_class,charge_type,price_rm,source_url
common public hospital charges,Frozen section (inclusive of confirmation),frozen section (inclusive of confirmation),per_admission,120.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Electrocardiography,electrocardiography,per_admission,45.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Exercise tests,exercise tests,per_admission,150.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Holter,holter,per_admission,150.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Topical fluoride (per arch),topical fluoride (per arch),per_admission,15.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Fissure sealant (per tooth),fissure sealant (per tooth),per_admission,15.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Full mouth scaling and polishing,full mouth scaling and polishing,per_admission,110.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,One bedded room,one bedded room,per_admission,320.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Two bedded room,two bedded room,per_admission,240.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Three bedded room or more,three bedded room or more,per_admission,200.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Second Class,second class,per_admission,180.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Third Class,third class,per_admission,160.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,One bedded room (VIP),one bedded room (vip),per_admission,500.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,One bedded room,one bedded room,per_admission,400.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,17- OXOSTEROIDS,17- oxosteroids,per_admission,30.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,17-OXOGENIC STEROIDS,17-oxogenic steroids,per_admission,30.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,2HOUR POST PARANDIAL,2hour post parandial,per_admission,20.0,https://hkl.moh.gov.my/en/public/hospital-charges
