model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
Tuned Gradient Boosting,2288.2936978527837,4085.2418749056837,0.8741041699475294,2472.024065317961,4248.985829209828,0.9017508310757683,2514.2945948988286,178.16577226641488,4386.561367907649,602.1544438600654,0.852712134975502,0.025363865802817236
Tuned Random Forest,2187.5405900211044,3938.238323934206,0.8830016373684917,2461.7823450081914,4302.562051288704,0.8992575276261402,2520.63407029681,175.28014224867655,4416.999561901561,596.7444789152644,0.8505500750736786,0.025906715415001422
Gradient Boosting,1903.0571809075723,3513.939173222203,0.906853986010804,2472.5321858242264,4375.195160951279,0.895827477605691,2554.665827035825,182.48350901893136,4513.646381147507,600.5070363895405,0.8442710791130784,0.024971286652422552
Random Forest,1007.3679729828463,1792.4787820896036,0.9757627220764044,2560.421703254603,4610.015358704138,0.8843453590585467,2682.0023823725924,205.08509665009072,4775.1724281754805,512.0437318084938,0.8257777982906633,0.018506867428302758
Linear Regression,4090.543245638858,5920.986885969469,0.7355375638977395,4152.857086749199,6000.563234058837,0.804051314911244,4156.916777099624,442.96976865470106,5982.061816800962,643.8922593099437,0.7269643101042562,0.02530741469687697
Decision Tree,0.0,0.0,1.0,3065.836591608209,6457.205473989398,0.7730931887831853,2955.3686689824563,256.6459978366584,6212.499565876861,332.3313219472144,0.6986746271027509,0.058934106058004365
Dummy Regressor,8650.668868119175,11513.625577751041,0.0,9799.337175986055,13631.461547870489,-0.011214214348384433,8668.41759919719,575.8564432860248,11507.499692246634,834.668625138273,-0.01237688414328395,0.0076369228219701525
